iter	Passed	Remaining
0	136	27188
1	137	13594
2	137	9060
3	138	6780
4	138	5410
5	139	4496
6	139	3844
7	139	3355
8	140	2975
9	140	2669
10	140	2420
11	141	2212
12	141	2036
13	141	1885
14	142	1754
15	142	1640
16	143	1540
17	143	1450
18	143	1371
19	144	1300
20	144	1235
21	145	1179
22	146	1124
23	146	1074
24	146	1028
25	147	985
26	147	945
27	147	908
28	148	873
29	148	842
30	149	812
31	149	785
32	150	759
33	150	734
34	150	711
35	151	688
36	151	667
37	151	647
38	152	629
39	152	611
40	153	594
41	153	578
42	154	563
43	154	548
44	155	534
45	155	520
46	155	507
47	156	495
48	156	483
49	157	471
50	157	460
51	158	449
52	158	439
53	158	429
54	159	420
55	159	410
56	160	401
57	160	393
58	161	385
59	161	376
60	161	368
61	162	361
62	162	353
63	163	346
64	163	339
65	163	332
66	164	326
67	164	319
68	165	313
69	165	307
70	165	301
71	166	295
72	166	290
73	167	284
74	167	279
75	167	273
76	168	268
77	168	263
78	169	258
79	169	254
80	169	249
81	170	244
82	170	240
83	170	235
84	171	231
85	171	227
86	171	223
87	172	219
88	172	215
89	172	211
90	173	207
91	173	203
92	173	200
93	174	196
94	174	193
95	175	189
96	175	186
97	175	183
98	176	179
99	176	176
100	177	173
101	177	170
102	178	167
103	178	164
104	178	161
105	179	158
106	179	156
107	179	153
108	180	150
109	180	147
110	181	145
111	181	142
112	181	140
113	182	137
114	182	135
115	183	132
116	183	130
117	183	127
118	184	125
119	184	123
120	185	120
121	185	118
122	185	116
123	186	114
124	186	112
125	187	109
126	187	107
127	188	105
128	188	103
129	188	101
130	189	99
131	189	97
132	190	95
133	190	93
134	191	92
135	191	90
136	192	88
137	192	86
138	193	84
139	193	82
140	194	81
141	194	79
142	194	77
143	195	76
144	195	74
145	196	72
146	196	70
147	197	69
148	197	67
149	198	66
150	198	64
151	199	62
152	199	61
153	199	59
154	200	58
155	200	56
156	201	55
157	201	53
158	202	52
159	202	50
160	202	49
161	203	47
162	203	46
163	204	44
164	204	43
165	205	42
166	205	40
167	206	39
168	206	37
169	207	36
170	207	35
171	208	33
172	208	32
173	209	31
174	209	29
175	209	28
176	210	27
177	210	26
178	211	24
179	211	23
180	212	22
181	212	21
182	213	19
183	213	18
184	214	17
185	214	16
186	214	14
187	215	13
188	215	12
189	216	11
190	216	10
191	217	9
192	217	7
193	218	6
194	218	5
195	219	4
196	219	3
197	220	2
198	220	1
199	221	0
